"","home_cluster","signal","silhouette_width","neighbor_cluster"
"1","Morning","DGTS_DGTA 44:9 +4O",0.330178994913112,"Afternoon"
"2","Morning","SQDG 43:4_a",0.297831944878846,"Afternoon"
"3","Morning","MGDG 42:10",0.207022663923119,"Night"
"4","Morning","PG 39:3 +1O",0.312209991615336,"Afternoon"
"5","Morning","DGCC 42:3 +1O_b",0.262936809340626,"Night"
"6","Morning","DGTS_DGTA 42:3 +2O",0.262936809340626,"Night"
"7","Morning","DGCC 38:4",0.155764201149953,"Afternoon"
"8","Morning","DGCC 42:10_b",0.318436102889488,"Afternoon"
"9","Morning","Zeax",0.235451129602177,"Night"
"10","Morning","Lut",0.235451129602177,"Night"
"11","Morning","TAG 54:3 +2O",0.143531509591674,"Afternoon"
"12","Morning","DGCC 44:3 +2O",0.30527167785313,"Night"
"13","Morning","SQDG 36:7",0.295847537540427,"Afternoon"
"14","Morning","19prime_but_fuco",0.171310146140329,"Afternoon"
"15","Morning","PE 38:4 +3O_a",0.272009656282557,"Night"
"16","Morning","PG 37:5 +1O_a",0.268445436062187,"Night"
"17","Morning","DGCC 34:4_a",0.166388500722988,"Night"
"18","Morning","Chl-a2",0.194628584350709,"Night"
"19","Morning","DGCC 44:10",0.261612108892186,"Afternoon"
"20","Morning","DGDG 36:8_b",0.172461916292061,"Night"
"21","Morning","DGTS_DGTA 44:10 +1O",0.261612108892186,"Afternoon"
"22","Morning","PG 41:3 +1O",0.272182585789214,"Afternoon"
"23","Morning","TAG 54:4 +2O",0.253576978463848,"Afternoon"
"24","Morning","DGCC 32:1_a",0.175572779404903,"Night"
"25","Morning","SQDG 39:4 +3O_b",0.171834610929279,"Night"
"26","Morning","PG 33:1_a",0.166880707483102,"Afternoon"
"27","Morning","DGCC 40:10",0.080156454617713,"Night"
"28","Morning","Chl-a1",0.167475302747326,"Night"
"29","Morning","Pheophytin_a1",0.261860603365539,"Night"
"30","Morning","PC 44:10 +1O",0.219322089559649,"Night"
"31","Morning","PG 38:5 +1O",0.22486392991823,"Night"
"32","Morning","PE 44:10 +1O",0.193680063290265,"Night"
"33","Morning","DGTS_DGTA 33:6 +3O",0.229947975481716,"Night"
"34","Morning","PG 37:3 +1O",0.0783519826663862,"Night"
"35","Morning","SQDG 37:6 +3O",0.226077692978313,"Night"
"36","Morning","DGDG 36:6 +2O",0.273703174041942,"Afternoon"
"37","Morning","Fuco",0.0920225638383794,"Night"
"38","Morning","PG 38:2 +2O",0.139121879196393,"Afternoon"
"39","Morning","DGTS DGTA 36:8_a",0.166497869761628,"Afternoon"
"40","Morning","TAG 54:3 +3O_a",0.115582078951687,"Afternoon"
"41","Morning","19prime_hex_fuco_a",0.260476686841093,"Afternoon"
"42","Morning","UQ10:10",0.0946438637449914,"Night"
"43","Morning","TAG 54:5_b",0.0561274141970703,"Afternoon"
"44","Morning","Chl-b2",0.112416079706611,"Night"
"45","Morning","PE 38:5 +1O",0.151160737136152,"Night"
"46","Morning","PC 36:4 +3O",0.209242485406315,"Night"
"47","Morning","PG 42:11 +2O",0.0517647294732832,"Night"
"48","Morning","TAG 42:1",0.0139916831929262,"Afternoon"
"49","Morning","DGTS DGTA 36:1_a",0.0324213212403684,"Afternoon"
"50","Night","UQ9:9",0.114540766005146,"Morning"
"51","Night","DGTS_DGTA 38:9 +3O",0.196470147188381,"Dusk"
"52","Night","DGCC 36:5_a",-0.00301566499161081,"Morning"
"53","Night","DGCC 42:3 +3O",0.161931917282016,"Morning"
"54","Night","SQDG 33:2 +1O",0.21035350233922,"Morning"
"55","Night","PE 36:6_a",0.130822871374497,"Dusk"
"56","Night","SQDG 35:2",0.0156267276286418,"Dusk"
"57","Night","DGCC 40:3 +3O",0.163507698928238,"Morning"
"58","Night","DGTS DGTA 35:5",0.209006773561161,"Morning"
"59","Night","PC 42:6_b",0.0519288053758335,"Morning"
"60","Night","Chl-b1",0.0387861085090209,"Dusk"
"61","Night","TAG 54:12",0.187950544985796,"Dusk"
"62","Night","PE 38:4 +1O_b",0.002032279650779,"Morning"
"63","Night","PE 38:4 +1O_a",0.062379623502288,"Morning"
"64","Night","PE 40:8_b",0.168524947291671,"Morning"
"65","Night","DGTS_DGTA 36:8 +3O",0.10887418108779,"Dusk"
"66","Night","TAG 65:7",0.0586119900306151,"Morning"
"67","Night","DGTS_DGTA 42:6 +4O",0.117553055230883,"Morning"
"68","Night","SQDG 30:2",0.00734119944234753,"Morning"
"69","Night","PE 32:4 +1O",-0.0252370755357067,"Morning"
"70","Night","DGTS DGTA 29:0_b",-0.0382721026725752,"Dusk"
"71","Night","PE 44:11",0.147673188561476,"Morning"
"72","Night","PE 36:3",0.0154677201621592,"Morning"
"73","Night","PE 38:2 +2O",0.079803552041573,"Dusk"
"74","Night","PC 40:10 +4O",0.0432776722793101,"Morning"
"75","Night","PG 44:9",0.146732132408772,"Morning"
"76","Night","DGCC 42:3 +1O_a",-0.0243585761427721,"Dusk"
"77","Night","SQDG 41:3",0.0375360695836977,"Dusk"
"78","Night","DGTS DGTA 38:5_a",0.0536502979056141,"Dusk"
"79","Night","UQ8:8",0.125301015799587,"Dusk"
"80","Night","PG 37:3",0.0800760893530949,"Dusk"
"81","Night","PC 34:4 +3O_a",-0.0175721360302207,"Morning"
"82","Night","DGTS DGTA 40:10",0.0788208973033352,"Dusk"
"83","Night","PG 36:5 +1O_a",0.00881271987826497,"Morning"
"84","Night","DGCC 44:6 +3O",0.0595101622896309,"Morning"
"85","Night","DGTS_DGTA 44:6 +4O",0.0595101622896309,"Morning"
"86","Afternoon","Dd_Ddc",0.0151265744113741,"Dusk"
"87","Afternoon","DGTS DGTA 42:9_b",0.0754010550959029,"Dusk"
"88","Afternoon","TAG 52:3 +1O",0.147363055400192,"Morning"
"89","Afternoon","TAG 50:9",-0.0384979969501654,"Dusk"
"90","Afternoon","PG 39:2_b",0.0846636984949935,"Dusk"
"91","Afternoon","SQDG 44:1 +1O",0.115290396194487,"Morning"
"92","Afternoon","DGCC 38:2",0.164103368880414,"Morning"
"93","Afternoon","PG 35:2_a",0.267859155433341,"Dusk"
"94","Afternoon","DGTS DGTA 38:9_a",0.255613428438789,"Dusk"
"95","Afternoon","TAG 54:4",0.0241439945196526,"Dusk"
"96","Afternoon","DGTS DGTA 43:1",0.121739635003527,"Morning"
"97","Afternoon","TAG 50:2 +1O",0.123532925710808,"Morning"
"98","Afternoon","SQDG 44:1",0.100040484234715,"Dusk"
"99","Afternoon","TAG 58:15",0.0954708244566756,"Morning"
"100","Afternoon","DGTS_DGTA 38:5 +2O",0.233879450802596,"Morning"
"101","Afternoon","TAG 54:4 +1O",0.16740927721178,"Morning"
"102","Afternoon","SQDG 42:1 +1O",0.153925291670672,"Morning"
"103","Dusk","DGDG 32:2",0.388144341515233,"Afternoon"
"104","Dusk","DGDG 34:1",0.414810567117742,"Afternoon"
"105","Dusk","MGDG 34:1",0.407457411077233,"Afternoon"
"106","Dusk","MGDG 34:2",0.408579608947985,"Afternoon"
"107","Dusk","MGDG 34:0",0.394236894520986,"Afternoon"
"108","Dusk","TAG 47:3",0.426836342284743,"Afternoon"
"109","Dusk","TAG 65:12",0.418654310543371,"Afternoon"
"110","Dusk","DGDG 32:0",0.379432016341284,"Afternoon"
"111","Dusk","DGDG 32:1",0.410284618675662,"Afternoon"
"112","Dusk","MGDG 32:0",0.366739040669524,"Afternoon"
"113","Dusk","MGDG 32:2",0.426342511225242,"Afternoon"
"114","Dusk","TAG 50:7",0.348849748394951,"Afternoon"
"115","Dusk","TAG 56:8",0.36915375909556,"Afternoon"
"116","Dusk","TAG 62:10",0.411636030599833,"Afternoon"
"117","Dusk","SQDG 34:0",0.375711740083667,"Afternoon"
"118","Dusk","TAG 54:8",0.343251579563052,"Afternoon"
"119","Dusk","MGDG 28:0_b",0.331696533086597,"Afternoon"
"120","Dusk","MGDG 42:1 +1O",0.375801036912418,"Afternoon"
"121","Dusk","TAG 52:2_a",0.430683888811575,"Afternoon"
"122","Dusk","TAG 52:8",0.390118862257994,"Afternoon"
"123","Dusk","MGDG 34:3_b",0.355239891777391,"Afternoon"
"124","Dusk","TAG 46:0",0.405673626708752,"Afternoon"
"125","Dusk","TAG 50:4",0.365376751943191,"Afternoon"
"126","Dusk","TAG 52:1_a",0.378824825102791,"Afternoon"
"127","Dusk","PC 42:1 +1O",0.371670539051909,"Afternoon"
"128","Dusk","TAG 54:10",0.371457085626065,"Afternoon"
"129","Dusk","TAG 54:2_a",0.420818237130715,"Afternoon"
"130","Dusk","MGDG 32:1",0.427980681122458,"Afternoon"
"131","Dusk","TAG 44:0",0.385679114597507,"Afternoon"
"132","Dusk","TAG 46:5",0.341961563193024,"Afternoon"
"133","Dusk","TAG 50:3",0.373818177864603,"Afternoon"
"134","Dusk","PC 40:1 +1O",0.261141170021885,"Afternoon"
"135","Dusk","PE 42:1 +1O",0.206659086128361,"Afternoon"
"136","Dusk","MGDG 30:0",0.288420476167854,"Afternoon"
"137","Dusk","DGDG 30:0",0.356961966731587,"Afternoon"
"138","Dusk","MGDG 32:3",0.379582900622363,"Afternoon"
"139","Dusk","PE 40:8 +3O",0.413713163242036,"Afternoon"
"140","Dusk","TAG 61:12",0.370718074065653,"Afternoon"
"141","Dusk","MGDG 34:3 +1O",0.363240788286985,"Afternoon"
"142","Dusk","PE 38:2",0.408069852077241,"Afternoon"
"143","Dusk","MGDG 30:1",0.174926140340623,"Afternoon"
"144","Dusk","TAG 52:7",0.337268648386538,"Afternoon"
"145","Dusk","TAG 54:9",0.341712299612193,"Afternoon"
"146","Dusk","TAG 52:6 +1O",0.212724986300427,"Afternoon"
"147","Dusk","TAG 47:5",0.403686946778759,"Afternoon"
"148","Dusk","TAG 48:5",0.383911591480749,"Afternoon"
"149","Dusk","TAG 56:9",0.409515891293567,"Afternoon"
"150","Dusk","TAG 46:1",0.415312148492404,"Afternoon"
"151","Dusk","TAG 46:4",0.379674987072639,"Afternoon"
"152","Dusk","TAG 48:4",0.392418187112888,"Afternoon"
"153","Dusk","TAG 54:7",0.378371687545117,"Afternoon"
"154","Dusk","TAG 56:6_a",0.400358253784507,"Afternoon"
"155","Dusk","TAG 63:13",0.378526717458986,"Afternoon"
"156","Dusk","TAG 46:2",0.347089408632019,"Afternoon"
"157","Dusk","TAG 50:1_a",0.347263562817455,"Afternoon"
"158","Dusk","TAG 50:6",0.33762067682874,"Afternoon"
"159","Dusk","TAG 50:8",0.2987918699087,"Afternoon"
"160","Dusk","PQ9:9",0.300597192052905,"Afternoon"
"161","Dusk","TAG 48:1",0.411494281036519,"Afternoon"
"162","Dusk","TAG 49:4",0.413068158721105,"Afternoon"
"163","Dusk","DGCC 44:2 +1O",0.38056731657909,"Afternoon"
"164","Dusk","TAG 43:0",0.392301576946314,"Afternoon"
"165","Dusk","TAG 45:0",0.413799452062232,"Afternoon"
"166","Dusk","TAG 48:0",0.408516322194133,"Afternoon"
"167","Dusk","TAG 48:3",0.386890304257381,"Afternoon"
"168","Dusk","TAG 49:7",0.386244179543496,"Night"
"169","Dusk","TAG 50:5",0.408314303087233,"Afternoon"
"170","Dusk","TAG 52:6",0.404684080123741,"Afternoon"
"171","Dusk","TAG 54:1_a",0.42422423772848,"Afternoon"
"172","Dusk","TAG 60:8",0.416170735356479,"Afternoon"
"173","Dusk","TAG 65:13",0.387065944751026,"Afternoon"
"174","Dusk","TAG 65:14",0.391835764685745,"Afternoon"
