,pVal,phase,peak.shape,period,diel
DGDG 32:2,8.72662816251586e-11,20,12,24,YES
DGDG 34:1,8.72662816251586e-11,20,12,24,YES
MGDG 34:1,8.72662816251586e-11,20,12,24,YES
MGDG 34:2,8.72662816251586e-11,20,12,24,YES
MGDG 34:0,4.23864796465056e-10,20,12,24,YES
TAG 47:3,4.23864796465056e-10,20,12,24,YES
TAG 65:12,4.23864796465056e-10,20,12,24,YES
DGDG 32:0,1.64559273921728e-09,20,12,24,YES
DGDG 32:1,1.64559273921728e-09,20,12,24,YES
MGDG 32:0,1.64559273921728e-09,20,12,24,YES
MGDG 32:2,1.64559273921728e-09,20,12,24,YES
TAG 50:7,1.64559273921728e-09,20,12,24,YES
TAG 56:8,1.64559273921728e-09,20,12,24,YES
TAG 62:10,1.64559273921728e-09,20,12,24,YES
SQDG 34:0,1.72787237617814e-09,20,12,24,YES
TAG 54:8,1.72787237617814e-09,20,12,24,YES
MGDG 28:0_b,1.810152013139e-09,20,12,24,YES
MGDG 42:1 +1O,5.51024235404573e-09,20,12,24,YES
TAG 52:2_a,5.51024235404573e-09,20,12,24,YES
TAG 52:8,5.51024235404573e-09,20,12,24,YES
MGDG 34:3_b,5.78575447174802e-09,20,12,24,YES
TAG 46:0,5.78575447174802e-09,20,12,24,YES
TAG 50:4,5.78575447174802e-09,20,12,24,YES
TAG 52:1_a,5.78575447174802e-09,20,12,24,YES
PC 42:1 +1O,1.64808606154942e-08,20,12,24,YES
TAG 54:10,1.64808606154942e-08,20,12,24,YES
TAG 54:2_a,1.64808606154942e-08,20,12,24,YES
DGTS_DGTA 44:9 +4O,1.7304903646269e-08,8,12,24,YES
MGDG 32:1,1.7304903646269e-08,20,12,24,YES
TAG 44:0,1.7304903646269e-08,20,12,24,YES
TAG 46:5,1.7304903646269e-08,20,12,24,YES
TAG 50:3,1.7304903646269e-08,20,12,24,YES
PC 40:1 +1O,1.81289466770437e-08,20,12,24,YES
PE 42:1 +1O,1.81289466770437e-08,20,12,24,YES
MGDG 30:0,1.89529897078184e-08,20,12,24,YES
DGDG 30:0,4.51665340468499e-08,20,12,24,YES
MGDG 32:3,4.51665340468499e-08,20,12,24,YES
PE 40:8 +3O,4.51665340468499e-08,20,12,24,YES
TAG 61:12,4.51665340468499e-08,20,12,24,YES
MGDG 34:3 +1O,4.74248607491924e-08,20,12,24,YES
PE 38:2,4.74248607491924e-08,20,12,24,YES
MGDG 30:1,4.96831874515349e-08,20,12,24,YES
SQDG 43:4_a,4.96831874515349e-08,8,12,24,YES
TAG 52:7,4.96831874515349e-08,20,12,24,YES
TAG 54:9,4.96831874515349e-08,20,12,24,YES
TAG 52:6 +1O,1.04302102444335e-07,16,16,24,YES
MGDG 42:10,1.15104225463584e-07,8,12,24,YES
TAG 47:5,1.15104225463584e-07,20,12,24,YES
TAG 48:5,1.15104225463584e-07,20,12,24,YES
TAG 56:9,1.15104225463584e-07,20,12,24,YES
TAG 46:1,1.20859436736763e-07,20,12,24,YES
TAG 46:4,1.20859436736763e-07,20,12,24,YES
TAG 48:4,1.20859436736763e-07,20,12,24,YES
TAG 54:7,1.20859436736763e-07,20,12,24,YES
TAG 56:6_a,1.20859436736763e-07,20,12,24,YES
TAG 63:13,1.20859436736763e-07,20,12,24,YES
TAG 46:2,1.26614648009943e-07,20,12,24,YES
TAG 50:1_a,1.26614648009943e-07,20,12,24,YES
TAG 50:6,1.26614648009943e-07,20,12,24,YES
TAG 50:8,1.26614648009943e-07,20,12,24,YES
PQ9:9,1.77451883521559e-07,20,16,24,YES
TAG 48:1,2.75960915722073e-07,20,12,24,YES
TAG 49:4,2.75960915722073e-07,20,12,24,YES
DGCC 44:2 +1O,2.89758961508177e-07,20,12,24,YES
TAG 43:0,2.89758961508177e-07,20,12,24,YES
TAG 45:0,2.89758961508177e-07,20,12,24,YES
TAG 48:0,2.89758961508177e-07,20,12,24,YES
TAG 48:3,2.89758961508177e-07,20,12,24,YES
TAG 49:7,2.89758961508177e-07,20,12,24,YES
TAG 50:5,2.89758961508177e-07,20,12,24,YES
TAG 52:6,2.89758961508177e-07,20,12,24,YES
TAG 54:1_a,2.89758961508177e-07,20,12,24,YES
TAG 60:8,2.89758961508177e-07,20,12,24,YES
TAG 65:13,2.89758961508177e-07,20,12,24,YES
TAG 65:14,2.89758961508177e-07,20,12,24,YES
DGDG 28:0,3.0355700729428e-07,20,12,24,YES
DGTS_DGTA 33:4 +1O,3.0355700729428e-07,20,12,24,YES
MGDG 32:2 +1O,3.0355700729428e-07,20,12,24,YES
PG 39:3 +1O,3.0355700729428e-07,8,12,24,YES
PG 43:6 +3O,3.0355700729428e-07,20,12,24,YES
TAG 48:2,3.0355700729428e-07,20,12,24,YES
PC 38:1,4.38311698855256e-07,20,16,24,YES
DGCC 42:3 +1O_b,6.2760663083648e-07,8,12,24,YES
DGTS_DGTA 42:3 +2O,6.2760663083648e-07,8,12,24,YES
TAG 47:4,6.2760663083648e-07,20,12,24,YES
TAG 62:9,6.2760663083648e-07,20,12,24,YES
DGCC 38:4,6.58986962378304e-07,8,12,24,YES
MGDG 32:3 +1O,6.58986962378304e-07,20,12,24,YES
PC 40:2 +1O,6.58986962378304e-07,20,12,24,YES
TAG 56:2_a,6.58986962378304e-07,20,12,24,YES
DGCC 42:10_b,6.90367293920128e-07,8,12,24,YES
MGDG 32:1 +1O,6.90367293920128e-07,20,12,24,YES
DGTS DGTA 43:5,1.02762002933234e-06,16,16,24,YES
PG 37:8 +1O,1.43103175591608e-06,20,12,24,YES
TAG 45:2,1.43103175591608e-06,20,12,24,YES
TAG 49:5,1.43103175591608e-06,20,12,24,YES
TAG 56:3_a,1.43103175591608e-06,20,12,24,YES
TAG 59:12,1.43103175591608e-06,20,12,24,YES
Zeax,1.43103175591608e-06,8,12,24,YES
Lut,1.43103175591608e-06,8,12,24,YES
DGDG 34:2,1.49917612524542e-06,20,12,24,YES
TAG 42:0,1.49917612524542e-06,20,12,24,YES
TAG 50:2,1.49917612524542e-06,20,12,24,YES
PE 39:0,1.9988725493017e-06,20,16,24,YES
PC 36:0,2.08973039245178e-06,20,16,24,YES
UQ9:9,2.54542680351998e-06,8,4,24,YES
