,pval,diffs,ko,n_tax,rejects
1,0,0.745098039215686,K00239,18,reject
2,0,0.65,K03798,16,reject
3,0,0.538461538461538,K02703,14,reject
4,0,0.538461538461538,K02274,13,reject
5,0,0.538461538461538,K04043,13,reject
6,0,0.363636363636364,K01902,11,reject
7,0,0.327272727272727,K02935,11,reject
8,0,0,K01899,8,reject
9,0,0,K07374,8,reject
10,0,0,K11251,8,reject
11,1e-04,0.545454545454545,K02706,12,reject
12,1e-04,0.222222222222222,K01682,9,reject
13,1e-04,0.25,K00958,8,reject
14,1e-04,0.25,K02183,8,reject
15,1e-04,0,K00855,7,reject
16,1e-04,0,K10389,7,reject
17,3e-04,0,K11254,6,reject
18,5e-04,0.444444444444444,K00927,9,reject
19,6e-04,0,K00325,6,reject
20,9e-04,0.285714285714286,K02115,7,reject
21,0.0012,0.285714285714286,K00031,7,reject
22,0.0014,0,K08057,5,reject
23,0.0015,0.555555555555556,K01602,9,reject
24,0.0016,0.611111111111111,K01624,9,reject
25,0.0017,0.848484848484849,K02275,12,reject
26,0.0017,0.476190476190476,K00164,7,reject
27,0.0017,0,K02014,5,reject
28,0.0017,0,K05298,5,reject
29,0.0019,0,K09551,5,reject
30,0.0019,0,K10418,5,reject
31,0.0021,0,K08054,5,reject
32,0.0022,0,K02867,5,reject
33,0.0023,0.836363636363636,K04078,11,reject
34,0.0025,0.476190476190476,K09564,7,reject
35,0.0026,0.333333333333333,K06118,6,reject
36,0.0029,0.755555555555556,K02355,10,reject
37,0.0029,0.722222222222222,K02705,9,reject
38,0.003,0.333333333333333,K00615,6,reject
39,0.0033,0.476190476190476,K06207,7,reject
40,0.0033,0.333333333333333,K04087,6,reject
41,0.0034,0.333333333333333,K05808,6,reject
42,0.0036,0.333333333333333,K01601,6,reject
43,0.005,0.571428571428571,K02639,7,reject
44,0.0052,1.02197802197802,K00240,14,reject
45,0.0059,0.888888888888889,K02716,10,reject
46,0.0062,0.777777777777778,K00411,9,reject
47,0.0063,0.571428571428571,K00335,7,reject
48,0.0065,0.571428571428571,K00962,7,reject
49,0.0065,0.571428571428571,K07375,7,reject
50,0.0067,0.777777777777778,K02078,9,reject
51,0.0071,0,K14637,4,reject
52,0.0073,0.571428571428571,K08738,7,reject
53,0.0074,0,K08917,4,reject
54,0.008,0,K09565,4,reject
55,0.0081,0.533333333333333,K09458,6,reject
56,0.0084,0,K02902,4,reject
57,0.0084,0,K09584,4,reject
58,0.0086,0,K12751,4,reject
59,0.0088,0.785714285714286,K02636,8,reject
60,0.0088,0,K01419,4,reject
61,0.009,0.533333333333333,K08907,6,reject
62,0.009,0,K00323,4,reject
63,0.0092,0.533333333333333,K04080,6,reject
64,0.0094,0,K17609,4,reject
65,0.0095,0.533333333333333,K08908,6,reject
66,0.0108,0.955555555555556,K02276,10,reject
67,0.0117,0.821428571428571,K03782,8,reject
68,0.0121,0.4,K09567,5,reject
69,0.0127,0.4,K07944,5,reject
70,0.0129,0.4,K02871,5,reject
71,0.0136,0.4,K02949,5,reject
72,0.0146,0.857142857142857,K00413,8,reject
73,0.0147,0.4,K03231,5,reject
74,0.0179,0.666666666666667,K02638,6,reject
75,0.0197,0.666666666666667,K00026,6,reject
76,0.0211,0.666666666666667,K04088,6,reject
77,0.0216,1.16483516483516,K04077,14,reject
78,0.0225,0.928571428571429,K01845,8,reject
79,0.0233,0.964285714285714,K08913,8,reject
80,0.0273,0.857142857142857,K00234,7,reject
81,0.0276,0.857142857142857,K00514,7,fail
82,0.0282,1,K00134,8,fail
83,0.0282,0.6,K03695,5,fail
84,0.0285,0.6,K02230,5,fail
85,0.0285,0.6,K03694,5,fail
86,0.0287,0.6,K02719,5,fail
87,0.0299,0.857142857142857,K03086,7,fail
88,0.0299,0.6,K01783,5,fail
89,0.0302,0.6,K02950,5,fail
90,0.0303,0.6,K03388,5,fail
91,0.0303,0.6,K09566,5,fail
92,0.0304,0.6,K00235,5,fail
93,0.0304,0.6,K03147,5,fail
94,0.0306,0.6,K05864,5,fail
95,0.0311,0.6,K02945,5,fail
96,0.0313,0.6,K15987,5,fail
97,0.0316,0.6,K06890,5,fail
98,0.0317,1.08888888888889,K03686,10,fail
99,0.0318,0.6,K11252,5,fail
100,0.0342,0.6,K02965,5,fail
101,0.035,1.11111111111111,K03403,10,fail
102,0.0353,1.03571428571429,K02641,8,fail
103,0.0355,0.952380952380952,K00412,7,fail
104,0.0356,0.952380952380952,K01915,7,fail
105,0.0402,0.866666666666667,K00244,6,fail
106,0.0402,0.866666666666667,K02986,6,fail
107,0.0415,1.16363636363636,K03522,11,fail
108,0.0416,0.866666666666667,K00123,6,fail
109,0.0417,0.866666666666667,K00336,6,fail
110,0.0422,0.866666666666667,--,6,fail
111,0.0431,0.866666666666667,K02293,6,fail
112,0.044,0.5,K00821,4,fail
113,0.0462,0.5,K02946,4,fail
114,0.0464,1.11111111111111,K01338,9,fail
115,0.0465,0.5,K08912,4,fail
116,0.0466,1.11111111111111,K08911,9,fail
117,0.0483,0.5,K08914,4,fail
118,0.0485,0.5,K09563,4,fail
119,0.0491,0.5,K00033,4,fail
120,0.0494,0.5,K01647,4,fail
121,0.0498,0.5,K08692,4,fail
122,0.0499,0.5,K02996,4,fail
123,0.0501,0.5,K02939,4,fail
124,0.0509,0.5,K12402,4,fail
125,0.0512,0.5,K02357,4,fail
126,0.052,0.5,K00647,4,fail
127,0.0523,0.5,K05863,4,fail
128,0.0527,0.5,K13993,4,fail
129,0.0528,0.5,K02133,4,fail
130,0.0532,0.5,K13628,4,fail
131,0.0533,0.5,K01903,4,fail
132,0.0536,0.5,K00255,4,fail
133,0.0538,0.5,K02879,4,fail
134,0.0542,0.5,K02863,4,fail
135,0.0548,0.933333333333333,K08916,6,fail
136,0.0554,0.933333333333333,K02926,6,fail
137,0.0556,0.8,K02881,5,fail
138,0.0557,0.8,K10705,5,fail
139,0.0558,0.8,K01100,5,fail
140,0.0568,0.8,K03568,5,fail
141,0.0578,0.8,K02916,5,fail
142,0.0582,0.8,K00253,5,fail
143,0.0642,1.04761904761905,K00278,7,fail
144,0.0677,1.04761904761905,K00161,7,fail
145,0.0677,1.04761904761905,K00600,7,fail
146,0.0711,1.04761904761905,K00311,7,fail
147,0.0723,0.666666666666667,K08956,4,fail
148,0.0727,1,K02952,6,fail
149,0.0765,0.666666666666667,K08902,4,fail
150,0.0771,0.666666666666667,K00643,4,fail
151,0.0773,0.666666666666667,K14172,4,fail
152,0.0781,0.666666666666667,K00248,4,fail
153,0.0805,0.666666666666667,K02959,4,fail
154,0.0829,1.06666666666667,K04771,6,fail
155,0.0863,1.06666666666667,K00150,6,fail
156,0.099,1.13333333333333,K02635,6,fail
157,0.0999,1.14285714285714,K02888,7,fail
158,0.1043,1.21428571428571,K00605,8,fail
159,0.1053,1.34065934065934,K02358,14,fail
160,0.1188,1,K02878,5,fail
161,0.1228,1,K03639,5,fail
162,0.1241,1,K01495,5,fail
163,0.1248,1,K01937,5,fail
164,0.1251,1,K00208,5,fail
165,0.1258,1,K01807,5,fail
166,0.1277,1,K03087,5,fail
167,0.1285,1,K01803,5,fail
168,0.1288,1,K02637,5,fail
169,0.1292,1,K08300,5,fail
170,0.1293,1,K02689,5,fail
171,0.1345,1.25,K03687,8,fail
172,0.1635,1,K11809,4,fail
173,0.1671,1,K16345,4,fail
174,0.1677,1.2,K02892,6,fail
175,0.1682,1.2,K02111,6,fail
176,0.169,1,K00099,4,fail
177,0.1693,1.2,K08910,6,fail
178,0.1714,1,K00274,4,fail
179,0.1715,1,K01662,4,fail
180,0.1715,1,K15427,4,fail
181,0.1718,1,K03671,4,fail
182,0.172,1,K03701,4,fail
183,0.1726,1,K02694,4,fail
184,0.1749,1.32142857142857,K04079,8,fail
185,0.1756,1,K09014,4,fail
186,0.1757,1.35555555555556,K03320,10,fail
187,0.1788,1,K00873,4,fail
188,0.1793,1,K00315,4,fail
