"","tax_sen_kos","tax_sen_kos_n","tax_sen_tax"
"K00240","K00240","14","Bacillariophyta_K00240,Cercozoa_K00240,Chlorophyta_K00240,Cryptophyta_K00240,Haptophyta_K00240,Ochrophyta_K00240,Crocosphaera_K00240,OM60/NOR5_K00240,SAR86_K00240,Planctomycetes_K00240,SAR92_K00240,Firmicutes_K00240,SAR324_K00240,SAR116_K00240"
"K02706","K02706","12","Dinophyta_K02706,Bacillariophyta_K02706,Chlorophyta_K02706,Cryptophyta_K02706,Haptophyta_K02706,Rhodophyta_K02706,High-light Pro_K02706,Viruses_K02706,Eukaryota_K02706,Crocosphaera_K02706,Low-light Pro_K02706,--_K02706"
"K01902","K01902","11","Bacillariophyta_K01902,Bicosoecida_K01902,Cercozoa_K01902,Chlorophyta_K01902,Cryptophyta_K01902,Haptophyta_K01902,Ochrophyta_K01902,Rhodophyta_K01902,OM60/NOR5_K01902,SAR92_K01902,SAR86_K01902"
"K04078","K04078","11","Haptophyta_K04078,SAR11_K04078,SAR116_K04078,Crocosphaera_K04078,SAR86_K04078,SAR324_K04078,SAR92_K04078,OM60/NOR5_K04078,SAR11-like_K04078,Other Gammaproteobacteria_K04078,Other Alphaproteobacteria_K04078"
"K03686","K03686","10","Haptophyta_K03686,SAR116_K03686,Other Alphaproteobacteria_K03686,Crocosphaera_K03686,SAR92_K03686,Other Gammaproteobacteria_K03686,SAR86_K03686,SAR11-like_K03686,SAR324_K03686,Roseobacter_K03686"
"K02276","K02276","10","SAR11-like_K02276,Rivulariaceae_K02276,SAR11_K02276,OM60/NOR5_K02276,SAR92_K02276,Other Gammaproteobacteria_K02276,SAR86_K02276,Roseobacter_K02276,--_K02276,Crocosphaera_K02276"
"K01845","K01845","8","Dinophyta_K01845,Bacillariophyta_K01845,Cercozoa_K01845,Chlorophyta_K01845,Cryptophyta_K01845,Haptophyta_K01845,Ochrophyta_K01845,Crocosphaera_K01845"
"K02641","K02641","8","Dinophyta_K02641,Bacillariophyta_K02641,Cercozoa_K02641,Chlorophyta_K02641,Cryptophyta_K02641,Haptophyta_K02641,Ochrophyta_K02641,Crocosphaera_K02641"
"K10960","K10960","8","Chromerida_K10960,Bacillariophyta_K10960,Chlorophyta_K10960,Cryptophyta_K10960,Haptophyta_K10960,Ochrophyta_K10960,Crocosphaera_K10960,Roseobacter_K10960"
"K00134","K00134","8","Bacillariophyta_K00134,Cercozoa_K00134,Chlorophyta_K00134,Haptophyta_K00134,Ochrophyta_K00134,Rhodophyta_K00134,Crocosphaera_K00134,SAR92_K00134"
