,pVal,phase,peak.shape,period,diel
Bacillariophyta_K08913,9.41838529963649e-13,20,8,24,YES
Haptophyta_K05863,3.01537664291116e-12,24,12,24,YES
Haptophyta_K01647,3.01537664291116e-12,24,12,24,YES
Haptophyta_K11088,3.01537664291116e-12,24,12,24,YES
Ochrophyta_K01647,3.01537664291116e-12,24,12,24,YES
Haptophyta_K16345,2.11076365003781e-11,24,12,24,YES
Haptophyta_K14684,2.2163018325397e-11,24,12,24,YES
Haptophyta_K02291,2.80348203361673e-11,16,8,24,YES
Ochrophyta_K09552,2.94365613529756e-11,16,8,24,YES
Haptophyta_K01599,3.0838302369784e-11,16,8,24,YES
Haptophyta_K01749,3.0838302369784e-11,16,8,24,YES
Haptophyta_K03661,1.02522805858979e-10,24,12,24,YES
Haptophyta_K03521,1.02522805858979e-10,24,12,24,YES
Haptophyta_K01426,1.02522805858979e-10,24,12,24,YES
Haptophyta_K03458,1.07648946151928e-10,24,12,24,YES
Haptophyta_K02716,1.42977583714453e-10,16,8,24,YES
Dinophyta_K16345,3.98029716864273e-10,24,12,24,YES
Bacillariophyta_K00855,3.98029716864273e-10,12,12,24,YES
Haptophyta_K01959,3.98029716864273e-10,24,12,24,YES
Ochrophyta_K01749,3.98029716864273e-10,16,12,24,YES
Haptophyta_K01455,4.17931202707487e-10,24,12,24,YES
Cryptophyta_K03386,4.69138252344499e-10,8,12,24,YES
Ochrophyta_K02716,5.55089442656112e-10,16,8,24,YES
Haptophyta_K01662,5.81522273258784e-10,16,8,24,YES
Haptophyta_K00228,9.71406524648196e-10,20,4,24,YES
Dinophyta_K03458,1.33581185280964e-09,24,12,24,YES
Bacillariophyta_K10705,1.33581185280964e-09,16,12,24,YES
Haptophyta_K01412,1.40260244545013e-09,24,12,24,YES
Haptophyta_K11188,1.40260244545013e-09,24,12,24,YES
Haptophyta_K02267,1.40260244545013e-09,24,12,24,YES
Haptophyta_K00658,1.46939303809061e-09,24,12,24,YES
Bacillariophyta_K01915,1.57445640748949e-09,20,12,24,YES
Haptophyta_K14067,1.76619368117854e-09,24,16,24,YES
Ochrophyta_K08956,1.76619368117854e-09,16,8,24,YES
Haptophyta_K01698,1.85450336523747e-09,16,8,24,YES
Haptophyta_K03404,1.94281304929639e-09,16,8,24,YES
Haptophyta_K03424,1.96633402374124e-09,12,16,24,YES
Haptophyta_K09838,2.54562629720779e-09,20,4,24,YES
Haptophyta_K10419,4.00743555842893e-09,24,12,24,YES
Haptophyta_K00311,4.00743555842893e-09,24,12,24,YES
Haptophyta_K04640,4.20780733635038e-09,24,12,24,YES
Haptophyta_K11251,4.20780733635038e-09,24,12,24,YES
Haptophyta_K15791,4.20780733635038e-09,24,12,24,YES
Haptophyta_K02146,4.20780733635038e-09,24,12,24,YES
Haptophyta_K03676,4.20780733635038e-09,16,12,24,YES
Haptophyta_K01463,4.20780733635038e-09,24,12,24,YES
Ochrophyta_K00927,4.20780733635038e-09,12,12,24,YES
Haptophyta_K10881,4.40817911427182e-09,24,12,24,YES
Haptophyta_K07301,4.40817911427182e-09,24,12,24,YES
