,pVal,phase,peak.shape,period,diel
High-light Pro_K02109,8.17609680257223e-12,4,12,24,YES
High-light Pro_K03553,8.17609680257223e-12,16,12,24,YES
High-light Pro_K03530,2.13927239953827e-11,16,12,24,YES
High-light Pro_K02703,2.22956271581324e-11,8,12,24,YES
High-light Pro_K02108,1.18251766443727e-10,4,12,24,YES
High-light Pro_K01358,1.36869446519122e-10,8,12,24,YES
Low-light Pro_K02703,1.43712918845078e-10,8,12,24,YES
Roseobacter_K02275,1.43712918845078e-10,12,12,24,YES
SAR92_K02274,1.43712918845078e-10,12,12,24,YES
Viruses_K02703,1.43712918845078e-10,8,12,24,YES
Crocosphaera_K02108,2.03810923460638e-10,24,16,24,YES
High-light Pro_K02111,2.80695475702492e-10,4,12,24,YES
High-light Pro_K02967,3.08765023272742e-10,4,12,24,YES
High-light Pro_K02705,3.21369952160028e-10,8,12,24,YES
High-light Pro_K02704,3.47232824446576e-10,4,16,24,YES
High-light Pro_K12574,3.53506947376031e-10,8,12,24,YES
Crocosphaera_K02634,6.09341493383191e-10,4,12,24,YES
High-light Pro_K02714,6.86599146817344e-10,8,12,24,YES
OM60/NOR5_K02275,7.41958024444583e-10,12,16,24,YES
High-light Pro_K02986,8.93182644820437e-10,24,16,24,YES
High-light Pro_K00514,1.56414720873436e-09,8,12,24,YES
High-light Pro_K05579,2.35631850532202e-09,8,16,24,YES
High-light Pro_K02716,2.60130670098859e-09,4,12,24,YES
Roseobacter_K00315,2.86143737108745e-09,16,12,24,YES
High-light Pro_K02638,3.27094172826893e-09,8,12,24,YES
High-light Pro_K04035,3.27094172826893e-09,8,12,24,YES
Crocosphaera_K01601,3.43448881468237e-09,24,12,24,YES
Roseobacter_K03704,3.43448881468237e-09,8,12,24,YES
Crocosphaera_K05385,3.59803590109582e-09,24,12,24,YES
High-light Pro_K01737,3.73963282216657e-09,8,8,24,YES
High-light Pro_K02634,3.73963282216657e-09,12,8,24,YES
SAR92_K00031,5.08063233791774e-09,12,16,24,YES
Crocosphaera_K02708,5.66079052721069e-09,4,12,24,YES
High-light Pro_K02711,6.63063011080489e-09,8,12,24,YES
High-light Pro_K03696,6.63063011080489e-09,8,12,24,YES
High-light Pro_K09014,6.63063011080489e-09,8,12,24,YES
Low-light Pro_K03797,6.63063011080489e-09,8,12,24,YES
Crocosphaera_K01176,6.96216161634513e-09,24,12,24,YES
High-light Pro_K00540,7.29369312188538e-09,8,12,24,YES
Other Alphaproteobacteria_K06204,7.31642767460188e-09,16,8,24,YES
Crocosphaera_K02116,8.04807044206207e-09,24,16,24,YES
High-light Pro_K01624,9.36298527606844e-09,4,8,24,YES
High-light Pro_K02836,9.36702042176911e-09,8,16,24,YES
High-light Pro_K02699,9.83113453987187e-09,4,16,24,YES
Synechococcus_K02703,1.02291813689114e-08,12,8,24,YES
High-light Pro_K02948,1.04178446668213e-08,4,12,24,YES
Crocosphaera_K01915,1.25424329971898e-08,20,8,24,YES
Low-light Pro_K02705,1.37190743828887e-08,8,12,24,YES
High-light Pro_K00384,1.43723636392168e-08,12,12,24,YES
High-light Pro_K04038,1.46352810494108e-08,16,16,24,YES
High-light Pro_K00464,1.53321991946209e-08,8,8,24,YES
Eukaryota_K02935,1.77517474016727e-08,4,8,24,YES
Eukaryota_K02703,2.35087942572353e-08,12,8,24,YES
High-light Pro_K02935,2.59098129998235e-08,24,16,24,YES
