"","taxon","kegg_KO","signal_ID","cluster","silhouette_width","neighbor_cluster","signal","name_short","name","pathway","taxon_group","notes"
"1","--","--",1331,"Night",0.0480484057608971,"Morning","--_--",NA,NA,NA,"",""
"2","--","K00942",2254,"Afternoon",0.221283139635399,"Morning","--_K00942","E2.7.4.8, gmk"," guanylate kinase [EC:2.7.4.8]","Purine metabolism","",""
"3","--","K02635",2155,"Afternoon",0.154834815679931,"Morning","--_K02635","petB"," cytochrome b6","Photosynthesis","",""
"4","--","K03594",1086,"Night",0.00701882110989153,"Morning","--_K03594","bfr"," bacterioferritin [EC:1.16.3.1]","Porphyrin and chlorophyll metabolism","",""
"5","--","K02276",5678,"Dusk",0.244508622861559,"Afternoon","--_K02276","coxC, ctaE"," cytochrome c oxidase subunit III [EC:1.9.3.1]","Oxidative phosphorylation","",""
"6","--","K08300",1302,"Night",0.201735446397779,"Dusk","--_K08300","rne"," ribonuclease E [EC:3.1.26.12]","RNA degradation","",""
"7","--","K07516",2466,"Afternoon",0.083648198731858,"Dusk","--_K07516","fadN"," 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Fatty acid degradation","",""
"8","--","K02110",1154,"Night",0.189456781573754,"Morning","--_K02110","ATPF0C, atpE"," F-type H+-transporting ATPase subunit c","Oxidative phosphorylation","",""
"9","--","K03704",2161,"Afternoon",0.0749640206425829,"Dusk","--_K03704","cspA"," cold shock protein (beta-ribbon, CspA family)","[]","",""
"10","--","K02396",3816,"Morning",0.180610402623486,"Night","--_K02396","flgK"," flagellar hook-associated protein 1 FlgK","Flagellar assembly","",""
"11","--","K10117",1280,"Night",0.136892924973391,"Morning","--_K10117","msmE"," raffinose/stachyose/melibiose transport system substrate-binding protein","Transport","",""
"12","--","K02355",3482,"Morning",0.199547070539992,"Night","--_K02355","fusA, GFM, EFG"," elongation factor G","[]","",""
"13","--","K00257",2269,"Afternoon",0.202593655079963,"Dusk","--_K00257","mbtN, fadE14"," acyl-ACP dehydrogenase [EC:1.3.99.-]","Fatty acid degradation","",""
"14","--","K01179",3895,"Morning",0.17176647250898,"Night","--_K01179","E3.2.1.4"," endoglucanase [EC:3.2.1.4]","Starch and sucrose metabolism","",""
"15","--","K17236",1328,"Night",0.132574771045303,"Dusk","--_K17236","araQ"," arabinosaccharide transport system permease protein","Transport","",""
"16","--","K01602",3644,"Morning",0.183077548699574,"Night","--_K01602","rbcS"," ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]","Carbon fixation in photosynthetic organisms","",""
"17","--","K02691",2317,"Afternoon",0.056191851743098,"Morning","--_K02691","psaC"," photosystem I subunit VII","Photosynthesis","",""
"18","--","K07486",3850,"Morning",0.0872496944144733,"Afternoon","--_K07486","K07486"," transposase","[]","",""
"19","--","K03743",2449,"Afternoon",0.0497167530256872,"Dusk","--_K03743","pncC"," nicotinamide-nucleotide amidase [EC:3.5.1.42]","Nicotinate and nicotinamide metabolism","",""
"20","--","K02946",1360,"Night",0.0752629195842906,"Morning","--_K02946","RP-S10, MRPS10, rpsJ"," small subunit ribosomal protein S10","Ribosome","",""
"21","--","K04488",2402,"Afternoon",0.163990709391258,"Dusk","--_K04488","iscU, nifU"," nitrogen fixation protein NifU and related proteins","Nitrogen metabolism","",""
"22","--","K02706",3682,"Morning",0.00375522812057067,"Afternoon","--_K02706","psbD"," photosystem II P680 reaction center D2 protein [EC:1.10.3.9]","Photosynthesis","",""
"23","--","K07499",2398,"Afternoon",0.066142445226648,"Dusk","--_K07499","K07499"," putative transposase","[]","",""
"24","--","K02456",3879,"Morning",0.217479915857626,"Night","--_K02456","gspG"," general secretion pathway protein G","Bacterial secretion system","",""
"25","--","K00123",2343,"Afternoon",0.295133886572344,"Dusk","--_K00123","fdoG, fdhF, fdwA"," formate dehydrogenase major subunit [EC:1.17.1.9]","Glyoxylate and dicarboxylate metabolism","",""
"26","--","K04080",2265,"Afternoon",0.209910420428095,"Dusk","--_K04080","ibpA"," molecular chaperone IbpA","RNA degradation","",""
"27","--","K02703",1995,"Afternoon",0.293665675968677,"Morning","--_K02703","psbA"," photosystem II P680 reaction center D1 protein [EC:1.10.3.9]","Photosynthesis","",""
"28","--","K13628",3774,"Morning",0.043300330279528,"Afternoon","--_K13628","iscA"," iron-sulfur cluster assembly protein","[]","",""
"29","--","K02950",1276,"Night",0.186316464804381,"Morning","--_K02950","RP-S12, MRPS12, rpsL"," small subunit ribosomal protein S12","Ribosome","",""
"30","--","K00858",5541,"Dusk",0.232630710070038,"Afternoon","--_K00858","ppnK, NADK"," NAD+ kinase [EC:2.7.1.23]","Nicotinate and nicotinamide metabolism","",""
"31","--","K02499",3582,"Morning",0.0955518982926606,"Night","--_K02499","yabN"," tetrapyrrole methylase family protein / MazG family protein","[]","",""
"32","--","K02935",1094,"Night",0.160504779310868,"Morning","--_K02935","RP-L7, MRPL12, rplL"," large subunit ribosomal protein L7/L12","Ribosome","",""
"33","--","K02518",1397,"Night",0.144619303651953,"Morning","--_K02518","infA"," translation initiation factor IF-1","RNA transport","",""
"34","--","K03453",1217,"Night",-0.021805570987345,"Morning","--_K03453","TC.BASS"," bile acid:Na+ symporter, BASS family","Transport","",""
"35","--","K00036",5520,"Dusk",0.313014251571545,"Afternoon","--_K00036","G6PD, zwf"," glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Pentose phosphate pathway","",""
"36","--","K01955",1107,"Night",0.0815890729715575,"Morning","--_K01955","carB, CPA2"," carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]","Pyrimidine metabolism","",""
"37","--","K01601",3529,"Morning",0.177908159881033,"Night","--_K01601","rbcL"," ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]","Carbon fixation in photosynthetic organisms","",""
"38","--","K00989",2444,"Afternoon",0.156880569643494,"Morning","--_K00989","rph"," ribonuclease PH [EC:2.7.7.56]","RNA degradation","",""
"39","--","K02014",3517,"Morning",0.117403261624737,"Night","--_K02014","TC.FEV.OM"," iron complex outermembrane recepter protein","Transport","",""
"40","--","K00394",2222,"Afternoon",0.265028962124176,"Dusk","--_K00394","aprA"," adenylylsulfate reductase, subunit A [EC:1.8.99.2]","Sulfur metabolism","",""
"41","--","K03782",5495,"Dusk",0.146639609928514,"Afternoon","--_K03782","katG"," catalase-peroxidase [EC:1.11.1.21]","Peroxisome","",""
"42","Actinobacteria","K02982",5697,"Dusk",0.0525151632786394,"Afternoon","Actinobacteria_K02982","RP-S3, rpsC"," small subunit ribosomal protein S3","Ribosome","prokaryotic_non_photoauto",""
"43","Actinobacteria","K02916",1262,"Night",-0.00206685323603186,"Morning","Actinobacteria_K02916","RP-L35, MRPL35, rpmI"," large subunit ribosomal protein L35","Ribosome","prokaryotic_non_photoauto",""
"44","Actinobacteria","K03798",2238,"Afternoon",0.147111996021704,"Dusk","Actinobacteria_K03798","ftsH, hflB"," cell division protease FtsH [EC:3.4.24.-]","Cell cycle","prokaryotic_non_photoauto",""
"45","Actinobacteria","K00239",2385,"Afternoon",0.191612543294794,"Dusk","Actinobacteria_K00239","sdhA, frdA"," succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]","Citrate cycle (TCA cycle)","prokaryotic_non_photoauto",""
"46","Actinobacteria","K00242",2333,"Afternoon",-0.0208401533429496,"Dusk","Actinobacteria_K00242","sdhD, frdD"," succinate dehydrogenase / fumarate reductase, membrane anchor subunit","Citrate cycle (TCA cycle)","prokaryotic_non_photoauto",""
"47","Actinobacteria","K02111",3688,"Morning",0.158174076448436,"Night","Actinobacteria_K02111","ATPF1A, atpA"," F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]","Oxidative phosphorylation","prokaryotic_non_photoauto",""
"48","Actinobacteria","K02935",1111,"Night",0.058205114574671,"Morning","Actinobacteria_K02935","RP-L7, MRPL12, rplL"," large subunit ribosomal protein L7/L12","Ribosome","prokaryotic_non_photoauto",""
